gene_especie_A,gene_especie_B,evalue_A_para_B,evalue_B_para_A
NP_414652.1,WP_005694366.1,1.74179e-75,4.65012e-75
NP_414656.1,WP_005694293.1,0.0,0.0
NP_414657.1,WP_010869159.1,0.0,0.0
NP_414658.1,WP_010869158.1,0.0,0.0
NP_414661.2,WP_010869281.1,2.20231e-25,5.70143e-25
NP_414667.4,WP_005693468.1,4.82391e-87,1.28805e-86
NP_414668.1,WP_005631770.1,5.19824e-104,1.43672e-103
NP_414684.1,WP_005693858.1,2.62828e-65,7.02258e-65
NP_414685.4,WP_010868929.1,1.15269e-170,8.34022e-167
NP_414687.1,WP_005630220.1,2.33288e-79,5.9482e-79
NP_414688.1,WP_010869259.1,1.69586e-87,4.57986e-87
NP_414698.1,WP_005649956.1,8.06129e-69,2.14046e-68
NP_414701.1,WP_005694230.1,4.09937e-91,3.83797e-83
NP_414704.4,WP_005693827.1,1.83513e-74,4.65752e-74
NP_414708.1,WP_005632504.1,7.42524e-170,1.23983e-160
NP_414709.1,WP_005694204.1,0.0,0.0
NP_414710.1,WP_005694208.1,9.55791e-127,2.5763e-126
NP_414711.1,WP_005645552.1,4.28039e-144,2.97646e-150
NP_414712.1,WP_005693261.1,3.44173e-142,9.13857e-142
NP_414713.1,WP_005693391.1,1.22471e-138,3.19791e-138
NP_414714.1,WP_005632773.1,4.22084e-93,1.12073e-92
NP_414715.1,WP_005693175.1,0.0,9.16567e-180
NP_414716.1,WP_005655860.1,1.2336e-107,3.09425e-107
NP_414717.2,WP_005693266.1,1.10065e-80,5.0904e-77
NP_414718.1,WP_005693265.1,1.40595e-174,1.39119e-170
NP_414719.1,WP_005693264.1,0.0,0.0
NP_414720.1,WP_005693263.1,1.90957e-17,2.44054e-14
NP_414721.1,WP_005693262.1,2.16848e-161,5.7578e-161
NP_414722.1,WP_013527849.1,4.61214e-68,1.08676e-67
NP_414723.1,WP_005651701.1,4.37837e-133,1.16256e-132
NP_414724.1,WP_010869121.1,3.47521e-178,2.99855e-175
NP_414725.1,WP_005693388.1,2.43988e-94,6.44572e-94
NP_414726.1,WP_005693144.1,0.0,0.0
NP_414727.1,WP_005693763.1,4.58485e-179,1.20212e-178
NP_414730.1,WP_005693764.1,2.26248e-111,1.4076e-106
NP_414736.1,WP_005693134.1,0.0,0.0
NP_414737.1,WP_005693665.1,4.06781e-89,1.09848e-88
NP_414739.1,WP_005694548.1,1.84166e-115,4.92613e-115
NP_414741.1,WP_010869021.1,1.17991e-164,3.15121e-164
NP_414742.1,WP_005694551.1,8.34221e-92,2.13387e-91
NP_414748.1,WP_005694517.1,2.04859e-59,1.22446e-53
NP_414750.1,WP_010868943.1,1.81423e-73,4.78613e-73
NP_414751.1,WP_010868942.1,3.01955e-103,8.44651e-103
NP_414757.1,WP_005694260.1,2.2418e-108,6.01451e-108
NP_414758.1,WP_164927861.1,6.58791e-89,1.90702e-88
NP_414760.1,WP_005694595.1,1.52285e-15,4.48302e-15
NP_414763.1,WP_005694080.1,3.36079e-47,9.51857e-47
NP_414772.1,WP_005694602.1,0.0,0.0
NP_414773.1,WP_005650775.1,4.6129e-84,1.249e-83
NP_414777.1,WP_005693251.1,1.84103e-170,4.90168e-170
NP_414778.1,WP_005694299.1,0.0,0.0
NP_414796.2,WP_010868939.1,1.05415e-149,2.63814e-149
NP_414835.2,WP_005658466.1,7.818e-44,2.20231e-43
NP_414839.1,WP_005665936.1,1.08937e-33,3.03511e-33
NP_414848.1,WP_005694195.1,2.10158e-136,5.5637e-136
NP_414889.1,WP_005694102.1,2.65571e-129,7.00061e-129
NP_414890.1,WP_005694101.1,0.0,0.0
NP_414901.1,WP_005693804.1,7.78906e-25,5.61546e-28
NP_414920.1,WP_005694358.1,1.48142e-40,3.96276e-40
NP_414927.1,WP_005694359.1,1.88182e-103,4.98017e-103
NP_414933.1,WP_005650606.1,3.99395e-88,1.06975e-87
NP_414934.1,WP_010869197.1,2.8662e-100,5.98164e-100
NP_414935.1,WP_005694065.1,1.79028e-82,4.72111e-82
NP_414939.1,WP_005694057.1,0.0,0.0
NP_414940.1,WP_005645731.1,0.0,0.0
NP_414941.1,WP_005648822.1,4.68038e-41,1.09588e-40
NP_414942.1,WP_005694058.1,0.0,0.0
NP_414943.1,WP_005686665.1,2.02396e-101,5.39071e-101
NP_414947.1,WP_005648026.1,1.21774e-76,3.23339e-76
NP_414948.1,WP_005693291.1,2.5763e-154,6.93387e-154
NP_414949.1,WP_005694466.1,7.37287e-86,1.97022e-85
NP_414950.1,WP_005650345.1,1.68939e-49,3.02163e-43
NP_414951.1,WP_005694465.1,3.95231e-115,1.05912e-114
NP_414952.1,WP_005694464.1,6.95896e-49,1.75108e-48
NP_414954.1,WP_005650455.1,0.0,0.0
NP_414955.1,WP_010869214.1,2.82315e-95,1.28329e-91
NP_414956.1,WP_005693923.1,1.41873e-26,3.9554e-26
NP_414960.2,WP_005651674.1,1.3638e-74,3.62119e-74
NP_414967.1,WP_050396697.1,4.64e-69,1.44948e-73
NP_414968.4,WP_005694116.1,6.5499e-17,1.80256e-16
NP_414969.4,WP_005668108.1,2.52117e-25,4.85328e-29
NP_414970.1,WP_010869039.1,0.0,0.0
NP_414971.1,WP_005694635.1,9.6367e-108,2.38571e-107
NP_414972.1,WP_005661954.1,0.0,0.0
NP_414973.1,WP_005693703.1,0.0,0.0
NP_414976.1,WP_010869106.1,2.05685e-17,4.97299e-17
NP_414981.4,WP_010868963.1,5.48713e-26,1.46654e-25
NP_414986.1,WP_005693846.1,7.33903e-110,5.46205e-104
NP_414995.1,WP_032828333.1,1.69448e-138,1.15057e-154
NP_414998.1,WP_165442160.1,0.0,0.0
NP_415002.1,WP_005650156.1,1.31341e-84,3.43024e-84
NP_415004.1,WP_005629464.1,8.52504e-61,8.67521e-69
NP_415005.1,WP_005626527.1,2.47694e-114,6.54411e-114
NP_415006.1,WP_032828396.1,0.0,0.0
NP_415007.1,WP_005649108.1,2.88172e-116,7.65163e-116
NP_415008.1,WP_005693475.1,2.88159e-118,1.5964e-112
NP_415013.1,WP_010868956.1,3.95721e-14,1.15198e-13
NP_415014.1,WP_010869210.1,8.31164e-68,2.19305e-67
NP_415016.4,WP_005650217.1,1.34496e-36,3.38155e-36
NP_415017.1,WP_010868972.1,4.3676e-149,1.90836e-136
NP_415020.1,WP_005654127.1,2.12198e-32,5.34218e-32
NP_415049.1,WP_005694560.1,4.04185e-67,1.0732e-66
NP_415054.1,WP_005694569.1,6.57032e-94,1.82093e-93
NP_415055.1,WP_005693629.1,2.06973e-137,1.54396e-130
NP_415056.1,WP_005693627.1,1.23298e-80,6.51443e-74
NP_415057.1,WP_005693139.1,2.63652e-79,6.91306e-79
NP_415058.1,WP_005693842.1,4.84452e-84,1.32555e-83
NP_415059.1,WP_005693844.1,0.0,0.0
NP_415062.1,WP_005654480.1,1.33467e-139,3.47003e-139
NP_415104.1,WP_010869219.1,3.94213e-28,1.03986e-27
NP_415110.1,WP_005694521.1,1.63944e-16,4.41327e-16
NP_415116.1,WP_010868937.1,7.85245e-10,2.07942e-09
NP_415120.1,WP_032828469.1,2.59194e-33,6.47587e-33
NP_415146.1,WP_005693884.1,1.45568e-67,1.26682e-67
NP_415148.1,WP_005663293.1,0.0,0.0
NP_415149.4,WP_005693883.1,8.83334e-168,9.87913e-160
NP_415150.1,WP_005668023.1,5.78079e-30,1.48794e-29
NP_415151.4,WP_005668021.1,1.74563e-124,4.4112e-124
NP_415157.1,WP_010869016.1,6.38736e-15,7.34759e-21
NP_415161.1,WP_005652627.1,0.0,0.0
NP_415163.2,WP_010868920.1,1.10206e-96,2.91249e-96
NP_415164.1,WP_005649857.1,5.17324e-26,1.45256e-25
NP_415165.1,WP_005693881.1,1.03903e-135,2.6904e-135
NP_415166.1,WP_005668014.1,2.24383e-27,4.67593e-27
NP_415167.1,WP_005649852.1,8.22763e-166,5.64266e-154
NP_415168.1,WP_005649850.1,0.0,0.0
NP_415169.1,WP_005649848.1,1.13835e-97,3.02259e-97
NP_415170.4,WP_005635481.1,1.49445e-42,3.85474e-42
NP_415173.1,WP_005693269.1,2.61263e-87,1.6629e-85
NP_415174.1,WP_005659127.1,1.55392e-29,1.80955e-31
NP_415175.1,WP_005693268.1,0.0,0.0
NP_415177.4,WP_010869261.1,5.25754e-12,7.08737e-12
NP_415190.1,WP_005694362.1,1.94975e-139,1.44192e-142
NP_415191.1,WP_005694364.1,2.93299e-123,5.62092e-123
NP_415192.1,WP_005663323.1,1.28394e-76,2.50558e-68
NP_415194.1,WP_005649877.1,0.0,0.0
NP_415203.1,WP_005694427.1,4.15675e-146,1.10082e-145
NP_415204.1,WP_005668148.1,4.29708e-153,1.15813e-152
NP_415206.1,WP_164927877.1,0.0,0.0
NP_415209.1,WP_010868953.1,3.22747e-59,8.45387e-59
NP_415210.1,WP_005648709.1,1.18046e-100,3.09877e-100
NP_415212.1,WP_005653834.1,5.52501e-78,1.50167e-77
NP_415213.1,WP_005648714.1,1.04201e-58,3.01135e-58
NP_415214.1,WP_010869047.1,4.86273e-13,2.48213e-12
NP_415219.1,WP_005694562.1,0.0,0.0
NP_415220.1,WP_010869015.1,0.0,0.0
NP_415238.1,WP_005649665.1,8.53643e-116,2.30332e-115
NP_415239.1,WP_005694217.1,4.69849e-68,1.21894e-67
NP_415240.1,WP_005694216.1,2.83072e-94,7.49197e-94
NP_415241.1,WP_010869282.1,4.24107e-90,1.13072e-89
NP_415254.1,WP_010869267.1,0.0,0.0
NP_415255.1,WP_005694387.1,0.0,0.0
NP_415256.1,WP_005694249.1,0.0,0.0
NP_415257.1,WP_005694247.1,2.16511e-177,5.82842e-177
NP_415261.2,WP_010869127.1,0.0,0.0
NP_415262.1,WP_010869126.1,4.12216e-163,3.27007e-174
NP_415264.1,WP_005693784.1,3.99214e-45,1.07583e-44
NP_415265.1,WP_005649191.1,2.89634e-114,6.64944e-109
NP_415266.1,WP_005649190.1,1.49572e-50,1.69045e-45
NP_415268.1,WP_005693786.1,0.0,0.0
NP_415269.1,WP_005652235.1,2.14266e-58,6.09625e-56
NP_415275.1,WP_165442166.1,0.0,0.0
NP_415276.1,WP_005693156.1,8.53166e-87,2.58699e-86
NP_415277.1,WP_005693182.1,2.27418e-114,5.93375e-114
NP_415278.1,WP_010869061.1,6.97517e-146,1.6628e-151
NP_415279.1,WP_005693184.1,0.0,0.0
NP_415280.3,WP_005694325.1,3.68972e-143,9.79705e-143
NP_415282.1,WP_005694183.1,4.64268e-64,7.40727e-56
NP_415284.1,WP_005694182.1,6.70402e-79,1.75929e-78
NP_415285.1,WP_005654374.1,1.36672e-101,1.69937e-95
NP_415286.1,WP_005694180.1,3.63189e-134,4.63974e-123
NP_415291.1,WP_005652640.1,0.0,0.0
NP_415295.1,WP_005693582.1,0.0,2.27704e-178
NP_415296.1,WP_005655985.1,1.18316e-142,3.02351e-142
NP_415297.1,WP_005693580.1,3.17747e-61,9.07633e-58
NP_415300.1,WP_005694308.1,0.0,0.0
NP_415302.1,WP_005694398.1,2.44691e-157,6.6551e-157
NP_415304.1,WP_005642378.1,1.32596e-92,3.49886e-92
NP_415305.1,WP_005654167.1,1.84736e-35,4.90517e-35
NP_415306.1,WP_005694395.1,1.30797e-64,3.47296e-64
NP_415333.1,WP_005650692.1,1.27389e-06,3.24068e-06
NP_415336.1,WP_005693345.1,1.53551e-80,4.01525e-80
NP_415347.1,WP_005693917.1,1.90934e-112,4.94757e-112
NP_415348.1,WP_005693918.1,4.93728e-165,2.49315e-160
NP_415370.1,WP_005628952.1,4.39293e-40,1.19387e-39
NP_415373.1,WP_005693559.1,8.08655e-89,2.16148e-88
NP_415380.1,WP_005693305.1,3.37889e-155,9.37844e-155
NP_415382.1,WP_005694264.1,1.20708e-69,4.99054e-87
NP_415383.1,WP_005694263.1,1.14485e-78,1.29813e-82
NP_415384.1,WP_005694262.1,2.75773e-80,7.20188e-80
NP_415385.1,WP_005694261.1,2.43966e-121,6.50463e-121
NP_415395.2,WP_005693915.1,8.00941e-58,8.27801e-60
NP_415398.1,WP_005693704.1,4.12611e-17,1.01379e-16
NP_415401.1,WP_005652728.1,1.14961e-31,2.96997e-31
NP_415404.1,WP_005627617.1,8.39922e-49,2.23019e-48
NP_415406.1,WP_005693471.1,2.66508e-175,0.0
NP_415407.1,WP_005693472.1,0.0,0.0
NP_415408.1,WP_005693473.1,1.24881e-180,3.28489e-180
NP_415409.1,WP_005664572.1,2.39254e-88,6.15906e-88
NP_415411.2,WP_005693608.1,2.4181e-65,6.48388e-65
NP_415412.1,WP_010869253.1,0.0,0.0
NP_415413.1,WP_005693809.1,0.0,0.0
NP_415414.4,WP_005693382.1,0.0,0.0
NP_415421.1,WP_005693569.1,5.56863e-25,1.52386e-24
NP_415422.1,WP_005694108.1,1.00034e-133,8.99092e-143
NP_415423.1,WP_005653814.1,0.0,0.0
NP_415424.1,WP_005694105.1,8.63148e-106,2.28381e-105
NP_415425.4,WP_010869168.1,0.0,0.0
NP_415427.1,WP_005694273.1,7.56283e-137,2.0081e-136
NP_415428.1,WP_005693605.1,0.0,0.0
NP_415430.1,WP_010869156.1,1.19192e-96,3.24848e-96
NP_415431.1,WP_010869157.1,0.0,0.0
NP_415432.1,WP_005694284.1,2.29625e-38,6.09707e-38
NP_415433.4,WP_005693861.1,5.7602e-113,9.44747e-113
NP_415434.1,WP_010868928.1,0.0,0.0
NP_415435.1,WP_005693863.1,4.38875e-112,1.17952e-111
NP_415438.1,WP_005693864.1,1.70623e-121,4.64003e-121
NP_415442.1,WP_010869195.1,0.0,0.0
NP_415443.2,WP_005693983.1,2.5848e-111,7.12721e-111
NP_415444.1,WP_005693982.1,0.0,0.0
NP_415445.1,WP_005694392.1,3.12382e-73,6.5951e-73
NP_415447.1,WP_005694389.1,6.86963e-79,1.01053e-81
NP_415448.1,WP_005693630.1,0.0,0.0
NP_415450.1,WP_010869177.1,0.0,0.0
NP_415452.1,WP_005693625.1,0.0,0.0
NP_415465.1,WP_005693962.1,2.50325e-148,6.70605e-148
NP_415469.1,WP_005694468.1,0.0,0.0
NP_415474.1,WP_005650386.1,2.82977e-104,7.7321e-104
NP_415475.1,WP_032828458.1,7.08941e-135,1.89846e-134
NP_415476.1,WP_005628871.1,1.03981e-48,2.72412e-48
NP_415477.1,WP_010869142.1,1.95439e-86,9.94978e-88
NP_415479.1,WP_010869017.1,3.25011e-10,8.9601e-10
NP_415480.2,WP_005665016.1,1.86971e-158,2.15494e-153
NP_415483.2,WP_010869160.1,2.71128e-70,7.19906e-70
NP_415484.1,WP_005654151.1,1.75861e-24,4.69072e-24
NP_415489.4,WP_005693989.1,9.06843e-53,2.40788e-52
NP_415490.1,WP_005649826.1,1.2891e-89,8.49542e-94
NP_415535.1,WP_010869188.1,0.0,0.0
NP_415553.1,WP_005693568.1,2.48701e-32,6.60359e-32
NP_415568.1,WP_005672404.1,2.36663e-08,5.86503e-08
NP_415572.1,WP_005693550.1,5.14317e-120,1.38794e-119
NP_415587.1,WP_164927860.1,1.46438e-130,3.82449e-128
NP_415602.1,WP_010868984.1,0.0,0.0
NP_415604.1,WP_005693754.1,1.17371e-172,3.14577e-172
NP_415606.1,WP_010868949.1,2.02267e-75,5.40171e-75
NP_415607.1,WP_005544470.1,5.70507e-21,4.02719e-27
NP_415609.1,WP_005691510.1,6.50105e-156,1.72073e-155
NP_415610.1,WP_005694437.1,5.89085e-154,1.4636e-148
NP_415611.1,WP_005694436.1,5.22598e-133,1.37624e-132
NP_415612.1,WP_005544465.1,1.99861e-39,5.17069e-39
NP_415615.1,WP_005693707.1,4.8623e-93,3.01906e-98
NP_415616.1,WP_032828392.1,6.25072e-93,1.63633e-92
NP_415617.1,WP_010868989.1,6.66901e-62,1.39908e-50
NP_415618.1,WP_010868988.1,8.81549e-113,2.29655e-112
NP_415621.3,WP_005627389.1,4.54724e-66,7.22158e-58
NP_415625.1,WP_005693307.1,5.25151e-129,1.35494e-134
NP_415627.1,WP_005693148.1,9.28778e-173,3.81485e-174
NP_415632.1,WP_005694314.1,0.0,0.0
NP_415634.1,WP_005654778.1,6.13151e-113,1.50968e-108
NP_415635.4,WP_005693575.1,8.71414e-103,2.25422e-102
NP_415636.1,WP_010869243.1,1.73678e-152,2.00121e-140
NP_415637.1,WP_005694104.1,1.07415e-106,2.86152e-106
NP_415641.1,WP_005666442.1,5.59543e-140,1.56376e-138
NP_415642.1,WP_010869186.1,2.52964e-126,7.37986e-125
NP_415643.3,WP_005694014.1,8.403e-117,2.41683e-124
NP_415644.1,WP_011962024.1,0.0,0.0
NP_415645.1,WP_005694011.1,6.54089e-157,1.75378e-156
NP_415646.4,WP_005693774.1,7.8711e-48,2.26365e-47
NP_415649.1,WP_010869024.1,0.0,0.0
NP_415650.1,WP_005694504.1,1.87313e-66,4.7868e-66
NP_415651.4,WP_100066294.1,0.0,0.0
NP_415653.4,WP_032828476.1,4.08748e-81,1.13534e-80
NP_415671.1,WP_165442165.1,6.86891e-13,1.76744e-12
NP_415697.5,WP_005650445.1,3.97125e-22,8.59187e-22
NP_415699.5,WP_005650678.1,1.14559e-48,2.98217e-48
NP_415703.3,WP_005693737.1,4.48323e-50,1.19716e-49
NP_415704.1,WP_010868985.1,0.0,0.0
NP_415705.1,WP_005652140.1,1.05268e-82,2.81849e-82
NP_415721.1,WP_005693776.1,0.0,0.0
NP_415722.1,WP_005693775.1,5.68501e-82,1.23967e-81
NP_415725.1,WP_005647284.1,0.0,0.0
NP_415726.1,WP_010869257.1,1.12922e-113,3.35601e-112
NP_415727.1,WP_032828367.1,2.19869e-26,5.80982e-26
NP_415729.1,WP_032803489.1,0.0,0.0
NP_415730.1,WP_005693587.1,3.35407e-103,9.38809e-103
NP_415732.1,WP_005654786.1,4.44443e-51,1.17132e-50
NP_415733.1,WP_005693586.1,5.37966e-179,1.42842e-178
NP_415748.1,WP_005693604.1,2.75305e-152,7.25777e-152
NP_415749.1,WP_005694029.1,1.11821e-24,3.14491e-24
NP_415752.1,WP_005693178.1,5.86066e-160,1.52007e-159
NP_415754.1,WP_005649496.1,5.20867e-97,1.30206e-96
NP_415759.1,WP_010869134.1,0.0,0.0
NP_415760.1,WP_005647620.1,6.23029e-176,1.65428e-175
NP_415761.1,WP_005651799.1,2.46083e-155,8.30258e-145
NP_415763.1,WP_005657282.1,7.12766e-177,1.88123e-176
NP_415764.4,WP_005628170.1,4.23819e-32,1.10469e-31
NP_415767.2,WP_005648344.1,5.927e-45,1.57375e-44
NP_415769.1,WP_005655643.1,6.36327e-66,1.97119e-65
NP_415770.1,WP_005655641.1,3.08227e-54,8.45846e-54
NP_415776.1,WP_005693930.1,3.75611e-105,3.34535e-99
NP_415777.1,WP_005693932.1,0.0,0.0
NP_415778.3,WP_032828410.1,3.83378e-179,1.06964e-178
NP_415779.1,WP_005693973.1,8.69745e-131,1.57831e-117
NP_415780.1,WP_005693976.1,0.0,1.09332e-180
NP_415782.1,WP_005693963.1,5.24016e-91,1.30116e-90
NP_415783.6,WP_005667400.1,4.03336e-115,1.07615e-114
NP_415785.1,WP_005694244.1,2.76362e-152,9.00233e-152
NP_415788.1,WP_005694402.1,4.5061e-126,1.01406e-119
NP_415790.1,WP_005693995.1,0.0,0.0
NP_415791.1,WP_005667393.1,3.26515e-153,8.64295e-153
NP_415793.1,WP_005629111.1,1.70029e-95,4.97535e-95
NP_415794.1,WP_005694086.1,4.54544e-32,4.20073e-36
NP_415795.1,WP_005650128.1,1.44156e-21,3.64005e-21
NP_415796.1,WP_005694286.1,2.24454e-138,4.19622e-132
NP_415797.1,WP_005667227.1,3.14044e-106,1.75942e-101
NP_415798.2,WP_005663537.1,1.35784e-53,3.5386e-53
NP_415802.1,WP_005694220.1,0.0,0.0
NP_415804.1,WP_005649928.1,6.24804e-144,1.659e-143
NP_415805.1,WP_005693271.1,1.47751e-21,4.05724e-21
NP_415806.1,WP_005670537.1,1.49573e-86,2.61311e-92
NP_415807.1,WP_005693649.1,7.47984e-155,2.87815e-164
NP_415808.1,WP_005693648.1,1.21934e-87,3.22669e-87
NP_415809.1,WP_005693647.1,2.76026e-69,7.98977e-69
NP_415810.1,WP_005693646.1,1.77105e-137,1.12049e-132
NP_415815.1,WP_005650837.1,5.36246e-06,7.54258e-06
NP_415817.1,WP_005693676.1,2.95641e-106,7.94208e-106
NP_415818.1,WP_005693298.1,4.44242e-72,2.21135e-67
NP_415837.1,WP_005693645.1,2.3431e-167,2.26054e-173
NP_415838.1,WP_010868921.1,1.07127e-94,5.32837e-87
NP_415839.1,WP_005693758.1,3.07917e-94,6.08717e-94
NP_415840.1,WP_005693150.1,8.19973e-74,2.13834e-73
NP_415849.1,WP_010869209.1,8.28328e-105,2.15068e-104
NP_415850.1,WP_005662331.1,6.15188e-145,1.6792e-144
NP_415851.1,WP_032828387.1,5.39067e-30,1.49831e-29
NP_415854.4,WP_005694556.1,6.24143e-112,3.7331e-98
NP_415860.1,WP_005693987.1,9.2363e-175,2.46822e-174
NP_415890.2,WP_010869205.1,3.27584e-07,9.43471e-08
NP_415898.1,WP_005693834.1,0.0,0.0
NP_415930.1,WP_005693994.1,3.04763e-67,7.81033e-67
NP_415931.4,WP_164927862.1,0.0,0.0
NP_415932.1,WP_005694191.1,1.87204e-06,4.61565e-06
NP_415946.1,WP_032828375.1,9.96674e-61,2.41224e-60
NP_415947.1,WP_005694518.1,8.15348e-76,3.143e-75
NP_415991.1,WP_146104763.1,0.0,0.0
NP_415993.1,WP_005663315.1,1.29098e-84,1.04313e-79
NP_416011.1,WP_005693992.1,5.22595e-91,2.42315e-90
NP_416012.1,WP_164927867.1,3.20979e-62,8.6306e-62
NP_416013.1,WP_005668011.1,4.56033e-81,3.33978e-77
NP_416024.1,WP_005694624.1,6.24597e-06,9.83174e-06
NP_416045.1,WP_005694422.1,2.00621e-125,2.39031e-114
NP_416057.1,WP_005693935.1,4.28088e-108,1.15501e-107
NP_416097.1,WP_010868926.1,5.72964e-58,1.53481e-57
NP_416106.1,WP_005656008.1,2.55115e-118,6.77389e-118
NP_416107.1,WP_005693381.1,2.51539e-77,1.63956e-71
NP_416108.2,WP_005693380.1,5.25034e-43,1.38725e-42
NP_416110.4,WP_005693920.1,8.13722e-59,2.2635e-58
NP_416118.1,WP_005694337.1,3.27284e-82,1.4774e-79
NP_416119.1,WP_005693997.1,0.0,0.0
NP_416120.1,WP_005693998.1,0.0,0.0
NP_416128.1,WP_010869204.1,0.0,0.0
NP_416144.1,WP_005694403.1,1.84784e-109,4.88102e-109
NP_416145.1,WP_005650033.1,1.43765e-75,3.83717e-75
NP_416146.1,WP_010869271.1,0.0,0.0
NP_416147.1,WP_005694177.1,1.61729e-117,4.36747e-117
NP_416148.1,WP_005694178.1,2.93845e-59,7.84012e-59
NP_416149.1,WP_005658208.1,5.5765e-96,2.37415e-86
NP_416150.1,WP_005654382.1,2.70501e-133,7.18242e-133
NP_416152.1,WP_005693808.1,1.40731e-30,3.23241e-26
NP_416153.1,WP_005630043.1,3.05909e-101,8.15088e-101
NP_416154.1,WP_010869258.1,2.78142e-34,2.73824e-37
NP_416155.1,WP_010869074.1,6.13206e-59,8.54825e-61
NP_416157.1,WP_005693152.1,7.8357e-118,3.01672e-114
NP_416168.1,WP_005688980.1,7.25643e-72,1.92675e-71
NP_416169.1,WP_005694345.1,2.12131e-101,5.99933e-101
NP_416171.1,WP_010869143.1,4.25803e-58,1.05195e-57
NP_416175.1,WP_010869264.1,1.66389e-134,4.35322e-134
NP_416179.1,WP_005693624.1,2.78859e-98,7.09148e-98
NP_416201.1,WP_005693476.1,2.22201e-50,5.98671e-50
NP_416202.1,WP_005694279.1,0.0,0.0
NP_416207.1,WP_005694543.1,1.80882e-32,4.51934e-32
NP_416223.1,WP_010869179.1,1.12076e-51,5.81039e-49
NP_416227.1,WP_005652847.1,4.51719e-42,1.16307e-41
NP_416228.1,WP_005694456.1,0.0,0.0
NP_416229.1,WP_005694457.1,0.0,0.0
NP_416231.1,WP_005596075.1,2.92046e-76,7.68878e-76
NP_416232.3,WP_005596065.1,3.79183e-32,1.00682e-31
NP_416233.1,WP_010869182.1,2.70664e-87,1.55072e-87
NP_416234.1,WP_005693993.1,0.0,0.0
NP_416243.1,WP_005693469.1,4.60992e-168,6.68615e-156
